Target gene;Representative transcript;Gene name;3P-seq tags + 5;Total sites;8mer sites;7mer-m8 sites;7mer-A1 sites;6mer sites;Representative miRNA;Predicted occupancy (low miRNA);Predicted occupancy (high miRNA);Predicted occupancy (transfected miRNA);Cumulative weighted context++ score;Total context++ score;"Aggregate PCT
"
RP11-169F17.1;ENST00000581862.1;Protein LOC400655  ;5;4;1;1;2;2;hsa-miR-584-5p;0,0186;0,1351;0,8809;-1,32;-1,32;"N/A
"
CTXN2;ENST00000417307.2;cortexin 2 ;5;3;1;1;1;1;hsa-miR-584-5p;0,0092;0,067;0,4434;-0,84;-0,84;"N/A
"
MIS12;ENST00000381165.3;MIS12 kinetochore complex component ;1061;2;1;1;0;0;hsa-miR-584-5p;0,0061;0,0443;0,2866;-0,76;-0,76;"N/A
"
HBD;ENST00000380299.3;hemoglobin, delta ;262;1;1;0;0;0;hsa-miR-584-5p;0,0059;0,0419;0,2444;-0,74;-0,74;"N/A
"
GLRA3;ENST00000274093.3;glycine receptor, alpha 3 ;5;4;1;2;1;0;hsa-miR-584-5p;0,0143;0,1036;0,6687;-0,72;-0,72;"N/A
"
CTD-2600O9.1;ENST00000564282.1;Homo sapiens uncharacterized LOC388282 (LOC388282), mRNA. ;5;1;1;0;0;0;hsa-miR-584-5p;0,006;0,0424;0,2466;-0,71;-0,71;"N/A
"
RQCD1;ENST00000295701.5;RCD1 required for cell differentiation1 homolog (S. pombe) ;1534;1;1;0;0;1;hsa-miR-584-5p;0,0052;0,0382;0,2575;-0,69;-0,69;"N/A
"
GTF2A2;ENST00000396060.2;general transcription factor IIA, 2, 12kDa ;1068;1;1;0;0;0;hsa-miR-584-5p;0,0056;0,0397;0,2338;-0,69;-0,7;"N/A
"
SNTG1;ENST00000522124.1;syntrophin, gamma 1 ;5;2;2;0;0;0;hsa-miR-584-5p;0,0104;0,0743;0,442;-0,67;-0,67;"N/A
"
KCNE2;ENST00000290310.3;potassium voltage-gated channel, Isk-related family, member 2 ;7;1;1;0;0;0;hsa-miR-584-5p;0,0043;0,0309;0,1907;-0,67;-0,67;"N/A
"
ATP6V1E2;ENST00000306448.4;ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E2 ;112;1;1;0;0;0;hsa-miR-584-5p;0,0046;0,0332;0,2026;-0,66;-0,66;"N/A
"
AL139147.1;ENST00000502413.2;Uncharacterized protein  ;5;1;1;0;0;0;hsa-miR-584-5p;0,0065;0,0462;0,2656;-0,63;-0,63;"N/A
"
NDUFA12;ENST00000547986.1;NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12 ;299;1;1;0;0;0;hsa-miR-584-5p;0,0019;0,0136;0,0928;-0,63;-0,63;"N/A
"
CCL5;ENST00000293272.3;chemokine (C-C motif) ligand 5 ;5;1;1;0;0;0;hsa-miR-584-5p;0,0036;0,026;0,165;-0,62;-0,62;"N/A
"
C2orf43;ENST00000440866.2;chromosome 2 open reading frame 43 ;398;2;1;1;0;2;hsa-miR-584-5p;0,0064;0,047;0,3207;-0,61;-0,61;"N/A
"
ZNF616;ENST00000330123.5;zinc finger protein 616 ;45;3;0;3;0;0;hsa-miR-584-5p;0,0062;0,0455;0,3064;-0,61;-0,61;"N/A
"
HIGD2B;ENST00000311755.3;HIG1 hypoxia inducible domain family, member 2B ;5;1;1;0;0;0;hsa-miR-584-5p;0,0047;0,0334;0,2033;-0,61;-0,61;"N/A
"
DPY30;ENST00000342166.5;dpy-30 homolog (C. elegans) ;935;2;0;1;1;0;hsa-miR-584-5p;0,0032;0,0229;0,1477;-0,6;-0,6;"N/A
"
CCDC152;ENST00000361970.5;coiled-coil domain containing 152 ;5;3;1;0;2;0;hsa-miR-584-5p;0,0147;0,1042;0,6112;-0,6;-0,6;"N/A
"
DSG3;ENST00000257189.4;desmoglein 3 ;5;3;2;1;0;1;hsa-miR-584-5p;0,0084;0,0609;0,4043;-0,59;-0,59;"N/A
"
ANXA1;ENST00000257497.6;annexin A1 ;365;1;1;0;0;0;hsa-miR-584-5p;0,0073;0,0517;0,3004;-0,59;-0,61;"N/A
"
EBPL;ENST00000378284.2;emopamil binding protein-like ;155;1;1;0;0;0;hsa-miR-584-5p;0,0055;0,0393;0,233;-0,57;-0,57;"N/A
"
C2orf66;ENST00000342506.2;chromosome 2 open reading frame 66 ;22;1;1;0;0;0;hsa-miR-584-5p;0,0039;0,0282;0,1825;-0,55;-0,55;"N/A
"
AC008964.1;ENST00000593965.1;;5;1;1;0;0;0;hsa-miR-584-5p;0,0055;0,0391;0,2367;-0,55;-0,55;"N/A
"
NPHP1;ENST00000316534.4;nephronophthisis 1 (juvenile) ;26;1;1;0;0;1;hsa-miR-584-5p;0,0044;0,0323;0,2125;-0,53;-0,62;"N/A
"
ZBP1;ENST00000371173.3;Z-DNA binding protein 1 ;5;1;1;0;0;0;hsa-miR-584-5p;0,0059;0,0421;0,245;-0,53;-0,53;"N/A
"
C12orf65;ENST00000253233.1;chromosome 12 open reading frame 65 ;283;1;1;0;0;0;hsa-miR-584-5p;0,0049;0,0351;0,2117;-0,53;-0,53;"N/A
"
PAXIP1-AS2;ENST00000397551.2;PAXIP1 antisense RNA 2 ;5;1;1;0;0;0;hsa-miR-584-5p;0,0043;0,031;0,191;-0,53;-0,53;"N/A
"
C17orf62;ENST00000342572.8;chromosome 17 open reading frame 62 ;89;1;1;0;0;0;hsa-miR-584-5p;0,007;0,0496;0,2839;-0,52;-0,57;"N/A
"
UTP11L;ENST00000537711.1;UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast) ;1460;1;1;0;0;0;hsa-miR-584-5p;0,0036;0,0259;0,17;-0,52;-0,52;"N/A
"
ANKRD18B;ENST00000290943.6;ankyrin repeat domain 18B ;5;1;1;0;0;1;hsa-miR-584-5p;0,0063;0,0459;0,2974;-0,52;-0,52;"N/A
"
