x1;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;target
20000;24;0;0;0;0;0;2;15110;16548;17443;16216;18027;12364;2000;1500;1500;2000;0;1000;0
120000;37;0;-1;-1;-1;-1;-1;3014;380;380;380;380;380;760;380;380;380;380;530;0
30000;41;0;0;0;0;0;0;26480;27529;28783;28312;28159;28870;1481;1735;994;2003;1180;1238;0
390000;39;0;0;-1;-1;-1;-1;42721;22836;24266;6088;2500;828;12041;24353;6118;2550;828;0;0
500000;30;0;0;0;0;0;0;135634;135796;133712;136069;67837;69514;5034;6000;5355;3500;2513;5000;0
50000;26;0;0;0;0;0;0;38189;28440;23228;21482;18029;18705;3000;1436;1162;2184;871;500;0
30000;22;0;0;0;0;0;0;30136;20741;21906;23183;13273;3027;1335;1500;1700;750;200;200;0
90000;48;-2;-2;-2;-2;-2;-2;6224;8150;0;0;9167;0;8150;0;0;9167;0;526;0
30000;34;0;0;0;0;0;0;26774;28014;29248;29254;19837;14793;2000;1694;1200;8697;2000;1000;0
500000;51;-2;-2;-2;-2;-2;-2;8864;1462;18653;45391;1460;580;1462;18661;45402;1460;580;1588;0
30000;43;0;0;0;0;0;0;26828;25352;26553;26554;18869;12359;1588;1789;790;471;352;121;0
190000;29;-1;-1;-1;-1;0;0;4460;5531;20867;12895;9968;9968;5537;20879;12895;0;0;0;0
20000;37;0;0;0;0;0;0;20009;20602;21255;19105;19609;19283;1700;1600;1200;1000;900;1000;0
210000;32;0;0;0;0;0;0;46255;50486;54019;58091;61630;65576;5000;5000;5000;4500;5000;5000;0
130000;27;0;0;0;0;0;0;124769;127966;119008;46659;47588;47698;5400;3941;1742;1671;1712;1730;0
310000;36;0;0;0;0;0;0;67940;45746;46979;42045;40334;49542;2000;2000;2000;2000;13000;2000;0
150000;31;0;0;0;0;0;0;126419;128887;134208;139551;134321;104513;7000;12440;10000;5000;5000;10000;0
50000;25;0;0;0;0;0;2;51461;51179;50628;50154;53936;51459;2000;1771;1770;6038;0;2112;0
200000;34;-1;-1;-1;-1;-1;-2;2603;11381;0;1000;0;0;11381;0;1000;0;0;0;0
400000;38;0;0;0;0;-1;-1;2988;3983;3417;3267;186;1200;1222;1000;1200;186;1200;0;0
360000;27;-1;-1;-1;-1;-1;0;660;660;658;1095;4948;3861;663;661;1100;4953;19;1264;0
100000;41;0;0;0;0;0;0;107224;107126;101859;79519;74368;58481;7000;3533;2673;3500;4303;3023;0
210000;34;-1;-1;-1;-1;-1;-1;5081;4053;3853;3942;2338;1767;4055;3856;3945;2338;1767;0;0
240000;53;-2;-2;-1;-1;-2;-2;0;0;2007;-40;-40;8091;0;2007;40;0;8131;0;0
240000;35;-1;-1;-1;-1;-1;0;11119;10361;10000;10200;30000;24000;10722;10000;10200;30000;4000;21245;0
70000;25;0;0;0;0;0;0;67521;66999;63949;63699;64718;65970;3000;4500;4042;2500;2800;2500;0
70000;25;0;0;0;0;2;2;35871;37174;37904;40651;39697;42253;1902;1632;3379;0;3200;0;0
130000;35;0;0;0;-2;-2;-2;1923;1995;0;0;0;0;1000;0;0;0;0;0;0
