"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"DDX3Y"	3.76953502427184	6.74193604938272	39.7798940092808	8.09890271126743e-109	1.86242366748306e-104	212.076874781875
"TTTY15"	3.51473299445214	5.88659934156379	28.2319587872833	6.17080865141387e-79	2.36506526246522e-75	156.467913562549
"USP9Y"	3.29329167683772	5.6065441563786	30.4721834398017	2.92338520379705e-85	1.34452332293034e-81	168.722118220372
"TXLNG2P"	2.67127327115118	5.27371469135803	26.6670130962403	2.34374206041804e-74	7.6995274887676e-71	147.454473724097
"UTY"	2.56679743411928	5.91566304526749	31.6440165755554	1.83722985540038e-88	1.40829792515957e-84	174.834670389416
"EIF1AY"	2.42069262968099	4.78370967078189	31.342685623766	1.2038983897642e-87	6.92121184275438e-84	173.282028844116
"NLGN4Y"	1.60397174549237	6.81594855967078	20.2009312703403	4.68355474206172e-54	1.07703024848451e-50	106.274542793589
"NCRNA00185"	1.58751834535367	4.60679399176955	17.0903442868706	1.24850251380872e-43	2.05075455768181e-40	84.4797895024161
"ZFY"	1.27974274618585	5.87337617283951	25.9798573368458	2.64865137292422e-72	7.61354837147067e-69	143.377564179284
"TTTY10"	1.21619028363384	5.39636711934156	18.5601632768897	1.35425860946926e-48	2.83113918030502e-45	94.9051793989337
"PRKY"	0.902572822468791	6.34032012345679	18.2223535775694	1.85187866645727e-47	3.54881681782096e-44	92.5270826417303
"RPS4Y2"	0.873506291955615	5.15383057613169	20.9641655568398	1.46855866890315e-56	3.75233057223298e-53	111.449578444009
"LINC00278"	0.764439678224687	4.92794481481481	10.1779465318987	1.6186595882735e-20	2.4815130594625e-17	35.0713432401338
"DAZ4"	0.60204322884882	4.03261666666667	4.76324638455346	3.26605717341012e-06	0.00214589287884969	4.23449817589354
"ITGA8"	0.521334545076282	6.2069412345679	2.09481357545406	0.0372160650871301	0.87396457959248	-4.10173472396536
"TMSB4Y"	0.482597103328709	6.20401530864198	9.50952390457754	1.8892456856199e-18	2.7153183616572e-15	30.6044384803719
"TSPY4"	0.467950443828016	5.22904777777778	4.490478692637	1.09545348685863e-05	0.006629223258895	3.12071714988708
"TSPY3"	0.464801280859916	6.48965325102881	4.06797110335771	6.40035165666959e-05	0.0306630180618279	1.50567487243241
"KAL1"	0.456801212205269	6.03735901234568	5.44342735525163	1.26880996428087e-07	0.000104205549780725	7.24212227754775
"C7"	0.45138179403606	7.10697991769547	1.99081205617134	0.0476138114313163	0.875217117712741	-4.30279864112081
"PCDH11Y"	0.418734680305131	5.32435185185185	4.44818432237534	1.31509954920426e-05	0.00756050730837528	2.95294453263156
"Percent.Necrosis"	0.415019762845846	11.875	0.138685354952184	0.889944114394114	0.994527954035107	-5.81863441837583
"OSMR"	0.410591981969486	5.80706349794239	2.30727966417295	0.021874639314657	0.87396457959248	-3.6604174797052
"FSTL1"	0.401570931345353	5.48326259259259	3.06554771111583	0.0024163746122336	0.509788537458017	-1.75794140056836
"UG0898H09"	0.370334509015256	6.29765222222222	2.84188038512393	0.00486299837281624	0.703854680359002	-2.37145107487045
"RGS1"	0.366779231622745	7.00937847736625	2.37635833451018	0.0182547898164527	0.87087538239173	-3.50815620653193
"VCAM1"	0.362097119972259	6.60166057613169	2.51094296214335	0.0126865564236307	0.87087538239173	-3.19924003094456
"FSTL5"	0.351445772538141	5.47747098765432	1.97999831225663	0.0488240504695634	0.875217117712741	-4.32313701790223
"PRLR"	0.345015763522884	4.79690567901235	2.82538132223023	0.00511211165571132	0.703854680359002	-2.41499392881241
"TSPY1"	0.344490382801664	5.18260172839506	3.43481683788438	0.000696353165683839	0.219360786274871	-0.651847177899067
"ZFP36"	0.336302941054091	6.7160666255144	2.72216930748036	0.0069518876009648	0.739984966282953	-2.68199485444897
"DCN"	0.328756572122052	7.08927329218107	1.76523386729686	0.0787717050565067	0.875627222129838	-4.70479448121237
"CYR61"	0.322569466019418	6.94163802469136	2.88082549310684	0.00431821207063861	0.700816572039048	-2.26773273722053
"CD69"	0.320505276699028	5.9873524691358	1.6404623788925	0.102193805395621	0.888764417446477	-4.90694493420324
"CBLN4"	0.312766415395284	5.81290658436214	3.13582771836195	0.00192326946010162	0.460576526916428	-1.55630309441011
"LXN"	0.310159929958391	5.1509253909465	2.60009800240656	0.00988653979273956	0.808835608944924	-2.98572542149191
"COL14A1"	0.305274024271844	4.23084551440329	1.47342846251308	0.141920703697465	0.888764417446477	-5.154872763839
"TTTY14"	0.304112502773924	6.8822437037037	9.18017265749749	1.87192291599452e-17	2.53216113977706e-14	28.4510537411774
"Percent.Tumor"	0.303595658073262	77.3423423423423	0.0643677976454145	0.948791398789462	0.99731670246998	-5.81625599053021
"CCL2"	0.302284465325935	6.61144497942387	2.20786957324765	0.0281814343966133	0.87396457959248	-3.87199210935161
"PCMTD1"	0.302027332871012	4.05287004115226	3.40201698362027	0.000781205812834005	0.23952811829241	-0.754722112760275
"GPR183"	0.301027033980582	5.79780567901235	2.29696393251962	0.0224659388849187	0.87396457959248	-3.68278696445697
"LINC00875"	0.300877289181691	6.83679600823045	2.0796458617885	0.0385993530804042	0.87396457959248	-4.13167306381414
"HLA.DRA"	0.295976479889043	8.4887612345679	1.81747115682317	0.0703679791081547	0.875217117712741	-4.61587713543656
"CD99"	0.292742447988905	7.68352218106996	3.39267142331477	0.000807095030849796	0.244209964860815	-0.783870306582123
"PTPN20A"	0.289605401525658	2.56721851851852	2.82370378500435	0.00513807939492988	0.703854680359002	-2.4194078729139
"CACNA1H"	0.287112186546462	6.58823588477366	2.27348494296893	0.0238641246367386	0.87396457959248	-3.73334334627462
"HAS2"	0.286487950762829	5.22734362139918	2.83850114526479	0.00491310190208639	0.703854680359002	-2.38038853963548
"TNFAIP3"	0.281485599861303	7.0158675308642	2.24419357341526	0.0257144477021694	0.87396457959248	-3.79571821453211
"NEAT1"	0.280615744798891	5.55800502057613	2.35700652953094	0.0192114614586457	0.87087538239173	-3.55124297625896
"LYVE1"	0.280567180305131	6.11683917695473	1.80316899670819	0.0725917655185621	0.875217117712741	-4.64047278756712
"PTPRC"	0.280403575589458	6.52780666666667	1.50869856862336	0.132665848773903	0.888764417446477	-5.10469287316484
"CCL19"	0.27811779403606	7.52146703703704	1.39782695055339	0.16343085756652	0.888764417446477	-5.25850485310107
"KDM5D"	0.276588479889042	5.49768119341564	6.11072285093895	3.88191790128963e-09	3.71952433575235e-06	10.4904356954722
"CD74"	0.274883303051317	9.07810432098765	2.08485420756155	0.038119478000647	0.87396457959248	-4.12141635975948
"C3"	0.274824010402219	7.79024802469136	1.46337499708787	0.144648088319818	0.888764417446477	-5.16896275793669
"CFH"	0.266196329403605	6.34409559670782	1.69559217256798	0.0912350302194424	0.88714937894415	-4.81940766455235
"KANK1"	0.263708732316228	5.27417251028807	1.68960968814402	0.0923762267956143	0.88714937894415	-4.82904351665494
"PELO"	0.26110169070735	4.12338769547325	3.04064212120714	0.00261739909525658	0.527979908723862	-1.82838535615381
"TCF7L2"	0.261097603328709	6.11214242798354	2.87200771893557	0.00443644076164602	0.700816572039048	-2.29133142952848
"CACNB2"	0.260078758668515	6.71132728395062	1.56970269079781	0.117776424810365	0.888764417446477	-5.01515369910705
"GCNT4"	0.259557544382801	4.61281699588477	2.37577883281774	0.0182828169000954	0.87087538239173	-3.50945134400567
"FDCSP"	0.259321364077669	4.7060653909465	1.65823590279211	0.0985511231628457	0.888764417446477	-4.87903209139633
"MMP12"	0.25878259223301	6.12246925925926	1.34528901222336	0.179777242136041	0.889710656367541	-5.32736058851551
"Year.of.Last.Follow.Up"	0.255478502079961	2005.23456790123	0.280708679521231	0.779171035013673	0.984837906751643	-6.15768019766663
"RBFOX1"	0.255353312760055	6.91983946502058	2.24442275723811	0.0256994988612533	0.87396457959248	-3.7952331830106
"NR4A1"	0.254694794036062	7.45415230452675	2.65248747857248	0.00851265353154992	0.783027922446087	-2.85697998808668
"ANXA2"	0.254082287794729	8.71086349794239	1.82493758824873	0.069229579079431	0.875217117712741	-4.60296193658681
"SERPINB9"	0.253587117891816	6.85802588477366	2.3248543350303	0.0208985983769975	0.87396457959248	-3.6220865487806
"PDK4"	0.253290447295422	6.70270641975309	1.88787916595822	0.060225344219024	0.875217117712741	-4.49204375592225
"NR4A2"	0.252484565880721	5.85957465020576	2.46814678090467	0.0142661844101659	0.87087538239173	-3.29922385684896
"CD9"	0.251651847434118	8.05539761316872	2.4655933486617	0.01436572785142	0.87087538239173	-3.30513782351095
"CSRNP1"	0.250661359916782	6.43993880658436	2.25376755957881	0.0250963773672291	0.87396457959248	-3.77541597490277
"FCER1G"	0.249265575589458	6.8251170781893	2.1978225736914	0.0288990197341157	0.87396457959248	-3.89287824451737
"RBMY2EP"	0.248886341192787	3.79522839506173	5.3597956350745	1.92441504680708e-07	0.000152599477297847	6.8552362557247
"GRIN3A"	0.248824521497918	5.9344383127572	1.76343357556328	0.0790753778259904	0.875627222129838	-4.70781391082445
"IL1R1"	0.248642211511788	5.60286580246914	2.22544273003239	0.0269634147000129	0.87396457959248	-3.83524061829374
"AMIGO2"	0.248572298196948	5.97049222222222	1.91659693324004	0.056453953011077	0.875217117712741	-4.44022407623989
"COL12A1"	0.248451251040221	6.80609995884774	1.81577522123601	0.0706286990039009	0.875217117712741	-4.61880353719786
"LCP1"	0.248003393203882	7.86427572016461	1.67271648648725	0.0956610799062245	0.888653809960389	-4.85607352374277
"CCL21"	0.246548867545076	7.05314781893004	1.29361426479234	0.197018415331446	0.891243870523851	-5.39255073537167
"IL18"	0.246539572122052	5.22259547325103	1.94996086972997	0.0523228153405401	0.875217117712741	-4.37906877820437
"ATF7IP2"	0.245618015256588	5.66080502057613	2.49272233335513	0.0133389906469932	0.87087538239173	-3.24200778721906
"JUNB"	0.244517905686545	7.99417946502058	2.29277154934793	0.0227102138034636	0.87396457959248	-3.69185068813207
"HLA.DPA1"	0.244399863384188	8.68749242798354	1.60249369360092	0.110336484241604	0.888764417446477	-4.96558854161446
"MIR199A1"	0.244284525658807	3.24207995884774	3.08858075812422	0.00224321784332805	0.497503507770474	-1.69232191023522
"C1S"	0.243718407073508	7.32364127572016	1.69407150705903	0.0915240202423963	0.88714937894415	-4.82186011643996
"TNC"	0.241497243411927	6.93419518518519	2.10102296819801	0.0366621434436517	0.87396457959248	-4.08941803718625
"IGFBP5"	0.240655237864077	7.20614037037037	2.04403557691543	0.0420207096578071	0.875217117712741	-4.20113690157101
"PTGS2"	0.240182824549237	5.38790489711934	1.88319782921412	0.0608596163474686	0.875217117712741	-4.50041904953445
"SDC4"	0.239819982662968	6.45355255144033	2.83058041950367	0.00503238762570128	0.703854680359002	-2.40129848421438
"PLAGL1"	0.239689945214978	6.81302209876543	1.60677929650577	0.10939235020303	0.888764417446477	-4.95903656074662
"LOC100127909"	0.239505081137309	5.27065345679012	2.79915990930796	0.00553197477531891	0.710917179078375	-2.48370763080375
"PHLDA1"	0.239143239944521	7.06019790123457	2.82147912714015	0.00517270138200867	0.703854680359002	-2.42525762585268
"USP17L7"	0.238596106102635	3.22911345679012	2.0861959793646	0.0379966828158265	0.87396457959248	-4.11877002706916
"ITGAL"	0.238238411927876	5.86431757201646	1.25789365942202	0.209629222477441	0.895048358520629	-5.43614251236726
"RNASE6"	0.237038964632454	6.3649987654321	1.81140488422735	0.0713042362253236	0.875217117712741	-4.62633247771109
"NRG1.IT3"	0.234582600554784	5.89951144032922	1.66449136380685	0.0972941618713224	0.888764417446477	-4.86913814873442
"SRGN"	0.234285590846047	8.02545333333333	1.9360950136887	0.0540077352127551	0.875217117712741	-4.40460870505982
"LOC100131541"	0.233989219140082	5.39600209876543	1.87165753826176	0.0624470193126678	0.875217117712741	-4.52097938895099
"SDC2"	0.2338965221914	7.70863403292181	2.51903061353563	0.0124061786472537	0.861910828314941	-3.18016197361827
"THBS1"	0.231720487517337	8.21072967078189	1.56367721127543	0.119185666099	0.888764417446477	-5.02415237872865
"NOTCH2"	0.231045269070735	6.6905633744856	2.38043591684415	0.0180586490347373	0.87087538239173	-3.499034642992
"DDX43"	0.230821712898751	5.34542127572016	2.20226950288588	0.0285794779549796	0.87396457959248	-3.88364505150474
"NRG1.IT1"	0.229991410540914	6.16658378600823	1.38471510487298	0.167400835339955	0.888764417446477	-5.27593214158978
"PDLIM1"	0.229534696948682	7.24862687242798	2.2393624067912	0.0260313330738519	0.87396457959248	-3.80593157547508
"FAM126A"	0.229172950762829	6.12076263374486	2.2463290651964	0.0255754500108649	0.87396457959248	-3.79119694329963
"FBLN5"	0.228704546463245	7.00257024691358	1.59111022129547	0.112875770208367	0.888764417446477	-4.98290885134058
"PLA2G7"	0.228461513176143	7.30093197530864	1.83601215861602	0.0675691143657423	0.875217117712741	-4.58371071724353
"FAM27B"	0.228110589459084	7.57860329218107	2.41339764495673	0.0165401283347601	0.87087538239173	-3.42475242369516
"RNA18S5"	0.227153795423023	11.1546174897119	1.1063819460803	0.269647705352428	0.91103186301707	-5.60763525957904
"TM4SF1"	0.224539570041608	6.73784193415638	2.00291134587714	0.0462898728706732	0.875217117712741	-4.27991548453654
"SIK1"	0.224335818307905	7.19946901234568	2.74741597904995	0.00645358314931998	0.734686129216645	-2.61754391945766
"NPC2"	0.223036115811372	8.3408458436214	2.05353701769567	0.0410834801939238	0.87396457959248	-4.1827159373349
"SPARC"	0.222732227461858	9.49633115226337	2.03716955284952	0.0427092566548322	0.875217117712741	-4.21439712420467
"OR2K2"	0.222532239251039	4.98127156378601	2.17333723007829	0.0307144454873972	0.87396457959248	-3.94339641034611
"PLK2"	0.22235689181692	6.7139075308642	1.84573513965636	0.0661386068957065	0.875217117712741	-4.56671570731102
"HIF1A.AS2"	0.22049629403606	2.95901946502058	2.00508590326474	0.0460552632843075	0.875217117712741	-4.27578857925212
"PLN"	0.220370559639389	4.07928683127572	2.34448582499027	0.019853675017642	0.871288379209342	-3.5789412661905
"ARHGAP36"	0.219951590846046	7.52874506172839	1.00429948514853	0.316226331432764	0.916956084659181	-5.71091197282204
"PLAT"	0.219355302357837	7.48441666666667	1.27887428416773	0.202152795579579	0.892845820099787	-5.41068459972126
"RXRG"	0.218465115117892	5.43080613168724	2.09771968828251	0.0369559332049705	0.87396457959248	-4.09597465364175
"AOAH"	0.217783746185852	6.82096794238683	1.75175281767404	0.0810690340106849	0.875627222129838	-4.72733184877464
"PLA2R1"	0.217105667822469	5.76267514403292	2.36584035054743	0.0187694164865978	0.87087538239173	-3.53161615329561
"MIR19B2"	0.217040963938973	2.62277106995885	3.54259769160282	0.000474348492244096	0.160413498935959	-0.307530701542382
"MYC"	0.216736304438279	6.49114641975309	2.58531537506382	0.0103086082221181	0.816693532898179	-3.02161481151102
"CEMIP"	0.216435659500693	5.83733456790123	1.75592342194548	0.0803525393892291	0.875627222129838	-4.72037748902338
"CCL4"	0.215859389736477	4.94684547325103	2.95615601731165	0.00341942172674014	0.639292862017206	-2.06338579519944
"NFKBIA"	0.214711731622746	8.02830757201646	2.47419238543266	0.0140329384611608	0.87087538239173	-3.28519855448289
"CCDC80"	0.214477297503467	6.60288279835391	1.49120937995363	0.137194475428233	0.888764417446477	-5.12972087243683
"P2RY10"	0.214336213592232	4.40221967078189	1.66505874526537	0.0971807939629753	0.888764417446477	-4.8682389506945
"LOC100132495"	0.213231875866851	5.53350740740741	1.86135098055637	0.0638937035577862	0.875217117712741	-4.5392379879895
"TAS2R40"	0.21303690776699	4.49540690534979	1.11066055731126	0.267804623701735	0.91103186301707	-5.6030906287192
"FGL2"	0.21274748404993	6.94274765432099	1.67455418524309	0.0952992431181745	0.887966529475503	-4.85314596399576
"LUM"	0.212678696948682	6.15728559670782	1.29035327866197	0.198145957886752	0.891243870523851	-5.3965802148209
"PAX8.AS1"	0.212474274618584	6.12351374485597	2.87503429904924	0.00439553174148462	0.700816572039048	-2.28323910029277
"SERPINE1"	0.211498192787795	7.13398818930041	1.63228069677015	0.103906493677591	0.888764417446477	-4.91969523680735
"CTSH"	0.211254382801663	7.49472024691358	2.06162568540345	0.0402997059802321	0.87396457959248	-4.16696905314221
"CYBRD1"	0.211159865464632	7.0363204526749	1.74892031088937	0.0815586174420063	0.875627222129838	-4.73204578372707
"MGARP"	0.210509475728155	6.4852237037037	2.3136224306829	0.0215178738981725	0.87396457959248	-3.64661574536596
"ROCK1P1"	0.210376530513176	4.75872798353909	2.32667225536687	0.0207998499480448	0.87396457959248	-3.61810575084412
"SOX6"	0.209001958391123	5.68878983539095	1.81993411367386	0.0699907584330463	0.875217117712741	-4.6116224793884
"NR4A3"	0.208916059639389	5.8210075308642	2.41964044080066	0.0162655880403366	0.87087538239173	-3.41057421522355
"ATP2B4"	0.208894515950069	7.91456366255144	1.63759484305698	0.102791481409837	0.888764417446477	-4.91142078376566
"DUSP1"	0.208708158807212	8.8539462962963	1.93334220668058	0.0543476094915027	0.875217117712741	-4.40965817999236
"NIPAL2"	0.208693975728155	5.42195773662551	2.46246630049004	0.0144884725436349	0.87087538239173	-3.31237241567368
"THBS2"	0.208540323855755	7.91558843621399	1.75970671672738	0.0797070681328709	0.875627222129838	-4.71405502241971
"FOS"	0.207582765603329	7.69918481481481	1.39129450311793	0.165399720610641	0.888764417446477	-5.26720749000178
"RSPO3"	0.207179070041609	4.5982	2.86844783880227	0.00448500230379279	0.700816572039048	-2.30083950391169
"DBH"	0.206955370319001	9.71684160493827	1.10974942661043	0.268196376317831	0.91103186301707	-5.60405986298677
"MSN"	0.206828565187239	8.76593456790124	1.83793087386373	0.0672848098259553	0.875217117712741	-4.58036386027801
