lineNo;assgNo;prevFixDur;firstfixDur;firstPassFixDur;nextFixDur;firstSaccLen;lastSaccLen;prevFixPos;landingPos;leavingPos;totalFixDur;meanFixDur;regressLen;regressDur;pupilDiamMax;pupilDiamLag;timePrtctg;titleNo;wordNo;target
9684;298;99;119;119;238;300.1666;288.0156;246.0732;56.6326;51.1786;119;119;0;0;0.1541;0.4446;0.0176;4;3;0
2065;66;119;159;239;100;306.1066;117.2359;321.014;47.3207;47.0425;239;119.5;0;159;0.0119;0.3264;0.0239;8;1;0
1969;61;139;139;357;179;590.5294;805.0531;479.3078;112.361;118.6529;536;178.6667;258;0;0.0874;0.0859;0.0431;4;8;0
10326;315;199;139;219;99;80.9475;306.5587;153.1698;79.8389;78.5875;198;99;0;396;0.0173;0.1453;0.0264;4;2;0
6827;204;80;100;239;139;110.7576;161.4845;189.6207;96.7471;102.1225;139;139;0;378;0.3229;0.4074;0.0288;2;1;0
2793;85;179;259;259;100;173.4416;204.5;29.5466;144.9422;137.0082;259;259;0;0;0.0947;0.5542;0.0235;7;3;0
9800;302;199;100;100;99;70.8025;245.0862;129.8345;58.1421;55.9151;100;100;0;0;0.1085;0.122;0.0202;2;2;0
9462;293;159;298;298;139;467.285;208.5402;611.2356;147.5212;124.0423;298;298;0;0;0.1261;0.2636;0.0207;7;1;0
2828;86;359;239;239;199;103.64;100.3606;151.0033;58.6195;60.8153;239;239;0;717;0.8257;0.5067;0.0271;4;3;0
8235;256;239;99;99;99;411.2922;169.3259;531.305;121.6737;121.1745;99;99;0;198;0.1874;0.3344;0.0085;10;2;0
5613;167;0;159;915;159;133.7171;114.2147;138.7083;52.9953;55.0318;219;219;0;716;0.0715;0.114;0.0147;1;1;0
3127;95;179;558;558;239;309.7773;115.434;292.7695;16.8671;40.9695;558;558;0;0;-0.2634;2.0226;0.1015;5;2;0
2537;78;120;379;379;359;1600.9859;1098.318;403.1241;1300.849;1266.7849;379;379;22514;817;1.1015;0.948;0.0096;10;4;0
7817;240;219;179;279;219;333.7911;70.2638;433.1836;113.8036;109.276;279;139.5;715;916;0.0361;0.1181;0.0266;4;1;0
10437;318;99;219;219;119;99.2182;0;82.7647;27.2259;42.9942;219;219;0;0;0.2907;0.2907;0.0467;5;6;0
1928;61;139;139;357;179;186.1511;921.2918;161.7931;26.7442;103.0194;357;119;258;0;0.0699;0.1229;0.0287;4;8;0
10027;306;80;119;119;179;415.0976;407.939;404.0309;13.4629;30.7612;100;100;0;800;0.193;0.5105;0.0067;8;5;0
10664;328;99;99;99;179;110.911;536.0784;68.4251;50.5594;51.7349;99;99;0;0;0.1097;0.1377;0.0098;4;7;0
4220;134;219;159;438;199;476.607;115.0848;626.2691;156.9984;138.6001;238;238;0;835;0.057;0.029;0.0123;3;1;0
6772;203;80;80;80;179;173.954;557.0613;85;93.5655;91.0673;80;80;378;0;0.0179;0.1124;0.0082;4;6;0
10806;333;179;99;99;219;150.4028;394.0381;107.2986;38.7072;44.847;99;99;0;0;0.0395;0.082;0.0157;3;5;0
2108;66;179;179;179;139;121.1084;98.6927;103.0776;14.7054;20.5973;179;179;0;179;0.1649;0.3234;0.0179;5;1;0
1926;61;80;179;358;139;108.5564;79.5692;51.4296;66.6652;167.4515;358;179;0;0;0.1029;0.0864;0.0288;4;5;0
10223;311;139;119;238;80;126.935;180.0062;49.7293;87.8208;67.5296;238;119;0;0;0.1117;0.1637;0.0299;5;3;0
6218;183;139;139;238;199;333.524;116.0097;249.3933;80.6226;34.6157;238;119;378;0;-0.0039;0.1206;0.0229;5;4;0
10222;311;119;139;139;119;204.7102;126.935;132.0606;76.3692;82;139;139;0;0;0.1447;0.1027;0.0175;5;2;0
2097;66;139;239;239;99;196.5204;50.324;218.0734;62.8431;63.673;80;80;299;279;0.1494;0.1649;0.008;1;1;0
9121;286;80;139;139;159;264.5468;398.0028;166.0753;101.6132;95.0842;139;139;0;0;0.0532;0.2052;0.0154;7;4;0
8560;271;179;119;119;139;327.5336;306.9405;249.3391;80.5062;94.3835;119;119;0;0;0.1832;0.3302;0.0211;4;4;0
2794;85;259;100;100;319;204.5;560.7069;148.0304;55.5203;62.8828;100;100;0;0;0.1722;0.5822;0.0091;7;4;0
9965;306;179;80;80;139;159.6598;182.4966;95.0474;60.1041;47.5657;80;80;0;1272;0.2;0.3735;0.0054;5;3;0
3947;127;139;99;99;219;285.3003;564.6072;257.8565;31.197;35.5106;99;99;598;0;0.1311;0.2141;0.0131;4;6;0
1031;31;219;80;80;159;142.6482;94.7629;80.05;66.4172;63.2653;80;80;1372;159;0.1254;0.1189;0.0069;3;3;0
2779;85;259;279;279;20;182.3904;70.0874;226.4906;60.0833;73.6817;279;279;0;0;-0.2753;-0.0108;0.0253;3;1;0
6049;179;139;258;397;219;358.2304;147.6432;403.2989;56.9956;136.4441;397;198.5;0;0;0.0796;0.0261;0.0425;4;1;0
7809;240;159;199;199;298;437.7925;175.309;542.1965;114.0395;114.5044;199;199;0;199;0.0246;-0.0044;0.019;6;2;0
2087;66;119;159;239;100;874.0631;138.1304;937.0048;67.487;63.8847;159;159;0;159;0.1339;0.1859;0.0159;8;1;0
7443;227;656;99;99;80;522.0931;193.0317;598.5065;97.3088;98.1147;99;99;3793;0;-0.0163;0.0867;0.0094;8;4;0
6704;200;99;139;338;99;300.5004;252.3846;313.4358;14.2215;22.4611;338;169;0;676;-0.078;0.2751;0.0749;4;3;0
4448;137;119;238;238;219;104.0048;163.5619;29.7321;79.6006;92.6984;238;238;0;0;-0.0873;0.1432;0.0297;3;3;0
4925;150;139;139;139;179;179.5341;80.7233;226.1084;61.7839;57.1686;139;139;0;139;0.0781;0.1196;0.0125;5;1;0
2640;79;199;319;319;279;556.234;135.0741;611.2454;73.6495;114.2322;319;319;0;578;-0.2575;-0.5825;0.0338;4;1;0
6617;197;80;99;198;119;728.6323;157.0796;811.6009;80.5047;52.5024;198;99;0;99;0.1161;0.1191;0.0372;7;1;0
9075;285;139;159;159;179;120.7487;442.0775;161.8919;63.9414;78.1745;159;159;278;0;0.1472;0.2822;0.0268;8;3;0
6448;191;199;159;159;139;182.0687;195.6074;122.0246;58.6686;65.4599;159;159;0;0;0.2484;0.3484;0.034;1;2;0
149;5;179;219;219;239;111.5672;172.0356;117.2902;7.6322;2.5495;159;159;398;0;0.032;0.0865;0.0142;4;2;0
