x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;y
4.473;4.273;4.273;4.273;-8.761;16.239;77;77;-102;34;2;3;-3.67;-3.976;0.612;-3.67;-1.529;5.81;12.538;1
-3.67;0.446;0.446;0.446;-12.109;12.891;-161;77;77;-102;2;2;-0.317;4.444;0;2.222;9.841;16.825;10.629;1
-0.317;0.128;0.128;0.128;-12.388;12.612;-59;-161;77;77;1;2;4.777;0.318;2.548;10.191;17.197;10.981;16.535;1
4.777;4.911;4.911;4.911;-8.203;16.797;62;-59;-161;77;1;3;-4.255;-2.128;5.167;11.854;5.921;11.222;7.818;1
-4.255;0.446;0.446;0.446;-12.109;12.891;-119;62;-59;-161;1;3;2.222;9.841;16.825;10.629;16.165;12.61;14.438;1
2.222;2.679;2.679;2.679;-10.156;14.844;64;-119;62;-59;2;4;7.453;14.286;8.224;13.64;10.161;11.95;9.665;0
7.453;10.332;10.332;10.332;-3.46;21.54;90;64;-119;62;2;4;6.358;0.717;5.757;2.52;4.185;2.058;-0.162;0
6.358;17.347;17.347;17.347;2.679;27.679;91;90;64;-119;3;4;-5.304;-0.565;-3.609;-2.043;-4.043;-6.13;-12;0
-5.304;3.714;11.122;11.122;-2.768;22.232;-43;91;90;64;2;4;5.005;1.791;3.444;1.331;-0.872;-7.071;-10.468;0
5.005;8.905;8.905;16.684;-3.908;19.622;81;-43;91;90;2;5;-3.061;-1.487;-3.498;-5.597;-11.5;-14.735;-8.745;0
-3.061;5.571;5.571;13.112;-6.849;16.681;0;81;-43;91;1;4;1.624;-0.451;-2.616;-8.705;-12.043;-5.864;-7.127;0
1.624;7.286;7.286;14.949;-5.336;18.193;74;0;81;-43;2;5;-2.042;-4.172;-10.164;-13.449;-7.368;-8.611;-8.833;0
-2.042;5.095;5.095;12.602;-7.269;16.261;33;74;0;81;1;4;-2.175;-8.292;-11.645;-5.437;-6.706;-6.932;-0.136;0
-2.175;-3.616;2.81;2.81;-9.286;14.244;-4;33;74;0;1;3;-6.253;-9.68;-3.335;-4.632;-4.863;2.084;0.973;1
-6.253;-9.643;-3.619;-3.619;-14.958;8.571;-249;-4;33;74;0;2;-3.656;3.113;1.729;1.482;8.893;7.708;10.771;1
-3.656;-12.946;-7.143;-7.143;-18.067;5.462;-232;-249;-4;33;0;2;7.026;5.59;5.333;13.026;11.795;14.974;9.949;0
7.026;-0.619;-0.619;-0.619;-12.311;11.218;64;-232;-249;-4;1;2;-1.342;-1.581;5.606;4.456;7.427;2.731;-2.252;0
-1.342;-1.952;-1.952;-1.952;-13.487;10.042;-96;64;-232;-249;1;2;-0.243;7.042;5.877;8.888;4.128;-0.923;10.685;1
-0.243;-2.19;-2.19;-2.19;-13.697;9.832;-124;-96;64;-232;1;1;7.303;6.134;9.153;4.382;-0.682;10.954;25.219;1
7.303;4.952;4.952;4.952;-7.395;16.134;77;-124;-96;64;1;2;-1.089;1.724;-2.722;-7.441;3.403;16.697;13.612;1
-1.089;3.81;3.81;3.81;-8.403;15.126;-9;77;-124;-96;1;2;2.844;-1.651;-6.422;4.541;17.982;14.862;11.239;1
2.844;6.762;6.762;6.762;-5.798;17.731;72;-9;77;-124;2;3;-4.371;-9.01;1.65;14.719;11.686;8.162;7.181;1
-4.371;2.095;2.095;2.095;-9.916;13.613;2;72;-9;77;1;3;-4.851;6.297;19.963;16.791;13.106;12.08;15.299;1
